{'style': {'M2MM': 50000.0, 'MM2M': 10000.0}, 'dis': {'M': 0.5, 'MM': 0.5}, 'gen': {'M': 0.5, 'MM': 1.0}, 'recon': 5, 'consis': 1, 'content': 1}
[1/100] D: 1.40|G: 1.00|Recon: 9.46|Consis: 1.86|Content: 12.97|Style: 102.01|T: 9.34|| M2MM: 0.00|MM2M: 0.00| experiment_name
[2/100] D: 1.31|G: 0.95|Recon: 9.61|Consis: 1.75|Content: 12.09|Style: 33.09|T: 9.24|| M2MM: 0.00|MM2M: 0.00| experiment_name
[3/100] D: 1.12|G: 0.92|Recon: 9.58|Consis: 1.75|Content: 9.26|Style: 19.23|T: 9.31|| M2MM: 0.00|MM2M: 0.00| experiment_name
[4/100] D: 0.83|G: 1.16|Recon: 9.56|Consis: 1.68|Content: 8.80|Style: 17.53|T: 9.16|| M2MM: 0.00|MM2M: 0.00| experiment_name
[5/100] D: 0.74|G: 1.48|Recon: 9.50|Consis: 1.61|Content: 8.13|Style: 15.84|T: 9.18|| M2MM: 0.00|MM2M: 0.00| experiment_name
[6/100] D: 0.54|G: 3.82|Recon: 9.47|Consis: 1.60|Content: 7.42|Style: 14.58|T: 9.12|| M2MM: 0.00|MM2M: 0.00| experiment_name
[7/100] D: 0.28|G: 14.07|Recon: 9.35|Consis: 1.53|Content: 6.95|Style: 13.93|T: 9.24|| M2MM: 0.00|MM2M: 0.00| experiment_name
[8/100] D: 4.34|G: 4.04|Recon: 9.26|Consis: 1.49|Content: 6.72|Style: 15.21|T: 9.15|| M2MM: 0.00|MM2M: 0.00| experiment_name
[9/100] D: 0.90|G: 7.16|Recon: 9.20|Consis: 1.44|Content: 6.44|Style: 13.00|T: 9.15|| M2MM: 0.00|MM2M: 0.00| experiment_name
[10/100] D: 0.64|G: 7.64|Recon: 9.05|Consis: 1.39|Content: 6.01|Style: 13.11|T: 9.08|| M2MM: 0.00|MM2M: 0.00| experiment_name
[11/100] D: 0.48|G: 1.10|Recon: 8.96|Consis: 1.36|Content: 5.81|Style: 12.80|T: 9.15|| M2MM: 0.00|MM2M: 0.00| experiment_name
[12/100] D: 1.06|G: 2.79|Recon: 8.88|Consis: 1.30|Content: 5.78|Style: 13.68|T: 8.98|| M2MM: 0.00|MM2M: 0.00| experiment_name
[13/100] D: 0.33|G: 3.31|Recon: 8.75|Consis: 1.28|Content: 5.37|Style: 13.20|T: 8.96|| M2MM: 0.00|MM2M: 0.00| experiment_name
[14/100] D: 0.38|G: 3.90|Recon: 8.69|Consis: 1.24|Content: 5.22|Style: 13.53|T: 9.07|| M2MM: 0.00|MM2M: 0.00| experiment_name
[15/100] D: 0.36|G: 4.84|Recon: 8.63|Consis: 1.24|Content: 5.58|Style: 13.95|T: 8.80|| M2MM: 0.00|MM2M: 0.00| experiment_name
